sBytesAvg,rBytesAvg,sFinRate,rFinRate,sSynRate,rSynRate,sRstRate,rRstRate,sttl,rttl,sAckRate,rAckRate,sAckDelayMax,rAckDelayMax,sPackets,rPackets,protocol,sWinTCP,rWinTCP,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,NST_B_Label
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.002,8,16,IPV4-TCP,509.0,502.0,13.0,6.0,0.0015124252864292,0.0007411956787109,0
65.0,57.647,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.003,8,17,IPV4-TCP,509.0,502.0,13.0,5.647,0.001709154673985,0.0285648107528686,0
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.139,1.0,0.0,0.0,,5869,5870,IPV4-TCP,0.0,1024.0,0.0,0.0,8.519169580554508e-05,8.51930640060261e-05,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.495,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0552513334486219,0.0261783725336978,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.202,0.198,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0212522682390714,0.0288549150739397,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.007,0.463,16,32,IPV4-TCP,509.0,502.0,13.0,6.0,0.0325777212778727,0.0157837098644625,0
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.126,1.0,0.0,0.0,,5869,5869,IPV4-TCP,0.0,1024.0,0.0,0.0,8.51977090894079e-05,8.519766845911153e-05,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.195,0.202,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0204238057136535,0.029192498752049,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.484,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0545540120866563,0.0258707372765792,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.491,6,12,IPV4-TCP,509.0,502.0,13.0,6.0,0.0993659973144531,0.0452077172019264,0
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,47.964,1.0,0.0,0.0,,2973,2973,IPV4-TCP,0.0,1024.0,0.0,0.0,0.000168202542681,0.000168202542681,1
65.0,58.353,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.495,8,17,IPV4-TCP,509.0,502.0,13.0,6.353,0.071303163255964,0.0312450528144836,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.001,8,16,IPV4-TCP,509.0,502.0,13.0,6.0,0.0007121562957763,0.0003893375396728,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.001,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0008920431137084,0.0005318853590223,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.498,3,6,IPV4-TCP,509.0,502.0,13.0,6.0,0.2498184442520141,0.0999671936035156,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.483,9,18,IPV4-TCP,509.0,502.0,13.0,6.0,0.0607922375202178,0.0286284054026884,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.002,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0016855001449584,0.0008202128940158,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.488,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0549781057569715,0.0260701054020931,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.492,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0551907751295301,0.026151368492528,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.206,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202212452888488,0.0288424321583339,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.001,8,16,IPV4-TCP,509.0,502.0,13.0,6.0,0.0011561598096575,0.0006481329600016,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.201,0.197,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.020577597618103,0.0293370655604771,0
65.0,58.4,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.489,7,15,IPV4-TCP,509.0,502.0,13.0,6.4,0.0826583305994669,0.0356808560235159,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.202,0.199,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0206654548645019,0.0295736449105399,0
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.057,1.0,0.0,0.0,,5101,5101,IPV4-TCP,0.0,1024.0,0.0,0.0,9.80374392341165e-05,9.80374859828575e-05,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.496,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0554249021742078,0.0262623084218878,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.234,0.199,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0220500469207763,0.0315490109579903,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202029466629028,0.0287883622305733,0
65.0,57.684,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.483,10,19,IPV4-TCP,509.0,502.0,13.0,5.684,0.0541272163391113,0.0270620452033148,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.001,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0009332299232482,0.0005173153347439,0
65.0,58.688,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.008,0.292,2075,3725,IPV4-TCP,509.0,502.0,13.0,6.688,0.0002410053172244,0.0001342612869885,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.202,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0203375935554504,0.0290916987827845,0
65.0,59.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.496,2,5,IPV4-TCP,509.0,502.0,13.0,7.2,0.0027270317077636,0.1248567700386047,0
65.0,57.455,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.001,5,11,IPV4-TCP,509.0,502.0,13.0,5.455,0.0009639859199523,0.0458551883697509,0
65.0,58.24,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.487,12,25,IPV4-TCP,509.0,502.0,13.0,6.24,0.0452963655645197,0.0208157996336619,0
65.0,59.111,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.004,0.471,16,27,IPV4-TCP,509.0,502.0,13.0,7.111,0.032830270131429,0.0189558817790104,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.493,7,14,IPV4-TCP,509.0,502.0,13.0,6.0,0.0832610130310058,0.0384543859041654,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.193,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0201933503150939,0.0288847855159214,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.0,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.000751793384552,0.0003812313079833,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.202,0.2,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0237762049624794,0.0291417155947004,0
65.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.493,7,12,IPV4-TCP,509.0,502.0,13.0,7.0,0.083258827527364,0.0452767285433682,0
65.0,57.647,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.491,9,17,IPV4-TCP,509.0,502.0,13.0,5.647,0.0618643760681152,0.0309315025806427,0
65.0,58.667,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.494,4,9,IPV4-TCP,509.0,502.0,13.0,6.667,0.1659646828969319,0.0623952746391296,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.199,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0204721450805664,0.0292732885905674,0
65.0,59.059,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.005,0.458,10,17,IPV4-TCP,509.0,502.0,13.0,7.059,0.0520511203342013,0.0293089300394058,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.203,11,22,IPV4-TCP,509.0,502.0,13.0,6.0,0.0425960063934326,0.020305281593686,1
65.0,57.806,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.494,16,31,IPV4-TCP,509.0,502.0,13.0,5.806,0.0333288669586181,0.0166643381118774,0
65.0,59.059,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.483,10,17,IPV4-TCP,509.0,502.0,13.0,7.059,0.0544755723741319,0.0306773781776428,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.198,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202744483947753,0.0289041314806257,0
65.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.482,10,16,IPV4-TCP,509.0,502.0,13.0,7.5,0.0543793307410346,0.0326314767201741,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.212,0.199,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0225851416587829,0.0291270869118826,0
65.0,59.059,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.488,10,17,IPV4-TCP,509.0,502.0,13.0,7.059,0.0550032191806369,0.0309538692235946,0
64.429,64.571,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.148,0.182,7,7,IPV4-TCP,505.0,506.0,12.429,12.571,0.0765541791915893,0.0760114987691243,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.473,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0531368785434299,0.0251850579914293,0
64.5,64.5,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.136,0.168,8,8,IPV4-TCP,505.5,505.5,12.5,12.5,0.063439164842878,0.063025985445295,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.487,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0546630223592122,0.02591451845671,0
65.0,57.768,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.012,0.286,695,1448,IPV4-TCP,509.0,502.0,13.0,5.768,0.0007203226474245,0.0003453170997814,1
65.0,58.24,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.475,13,25,IPV4-TCP,509.0,502.0,13.0,6.24,0.041654090086619,0.0208243330319722,0
65.0,57.647,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.0,8,17,IPV4-TCP,509.0,502.0,13.0,5.647,0.000155006136213,0.0286876857280731,0
65.0,58.462,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.496,6,13,IPV4-TCP,509.0,502.0,13.0,6.462,0.0997777938842773,0.0416650772094726,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.206,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0210314035415649,0.0300545692443847,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.0,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0004994869232177,0.0002705521053738,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.494,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0552422205607096,0.0261961033469752,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.488,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0547853310902913,0.0259697311802914,0
42.0,,,,,,,,,,,,,,1,0,ARP,,,0.0,,,,1
65.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,,0.0,1,1,IPV4-TCP,509.0,502.0,13.0,0.0,,,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.204,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202841997146606,0.0291189977100917,0
65.0,57.793,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.005,0.475,15,29,IPV4-TCP,509.0,502.0,13.0,5.793,0.0348360708781651,0.0174103549548557,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.201,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202219009399414,0.0289425679615565,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.214,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0201207399368286,0.0287048646381923,0
42.0,,,,,,,,,,,,,,1,0,ARP,,,0.0,,,,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.486,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0546833409203423,0.0259241053932591,0
65.0,58.462,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.497,6,13,IPV4-TCP,509.0,502.0,13.0,6.462,0.0998116016387939,0.0416475137074788,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.201,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0204370498657226,0.0292154380253383,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.493,14,28,IPV4-TCP,509.0,502.0,13.0,6.0,0.0384048498593843,0.0185038513607449,0
65.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.004,0.475,8,15,IPV4-TCP,509.0,502.0,13.0,5.6,0.0692977224077497,0.0346409423010689,0
,92.0,,,,,,,,,,,,,0,1,IPV4-ICMP,,,,64.0,,,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.197,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202095031738281,0.0288974217006138,0
65.0,57.647,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.001,8,17,IPV4-TCP,509.0,502.0,13.0,5.647,0.0005748612540108,0.0298283249139785,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.497,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0554506778717041,0.0262708914907355,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.199,0.204,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0235942162965473,0.0291011503764561,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.001,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0007867813110351,0.0003861056433783,0
65.0,57.455,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.002,6,11,IPV4-TCP,509.0,502.0,13.0,5.455,0.0012715816497802,0.0006420850753784,0
65.0,59.059,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.482,10,17,IPV4-TCP,509.0,502.0,13.0,7.059,0.054275459713406,0.0307464897632598,0
65.0,58.222,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.49,14,27,IPV4-TCP,509.0,502.0,13.0,6.222,0.0384226945730356,0.0192178120979895,0
65.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.004,0.484,9,12,IPV4-TCP,509.0,502.0,13.0,9.0,0.0622812509536743,0.0454055395993319,0
58.608,59.768,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.345,0.424,1265,981,IPV4-TCP,509.0,502.0,6.608,7.706,0.00039520010918,0.0005092450550624,1
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.007,0.478,12,24,IPV4-TCP,509.0,502.0,13.0,6.0,0.0453349243510853,0.0217282564743705,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.204,0.199,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0208971977233886,0.0298836401530674,0
,42.0,,,,,,,,,,,,,0,6,ARP,,,,0.0,,0.0799436092376709,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.207,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0204892992973327,0.029316851070949,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.479,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0536856651306152,0.02551952161287,0
65.0,59.385,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.47,16,26,IPV4-TCP,509.0,502.0,13.0,7.385,0.0320870717366536,0.0193010425567626,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.225,0.2,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0247621536254882,0.0307000023978097,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.488,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0549262364705403,0.0260390984384637,0
65.0,58.029,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.008,0.288,2067,4112,IPV4-TCP,509.0,502.0,13.0,6.029,0.0002419623146906,0.0001215643617133,1
65.0,58.316,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.486,10,19,IPV4-TCP,509.0,502.0,13.0,6.316,0.0551516744825575,0.0276051097446017,0
65.0,58.65,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.004,0.237,1176,2122,IPV4-TCP,509.0,502.0,13.0,6.65,0.00042519914343,0.0002355799254579,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.202,0.206,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0201072573661804,0.0287670748574393,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.201,0.201,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0203250527381896,0.0290325028555733,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.002,8,16,IPV4-TCP,509.0,502.0,13.0,6.0,0.0007178783416748,0.0004159927368164,0
