end,endOffset,rBytesSum,start,sBytesSum,startOffset,sPayloadSum,rPayloadSum,rPackets,sPackets,NST_B_Label
1663319693.205491,13.695154,933,1663319692.801462,1239,13.291125,147,153,15,21,0
1663319693.004035,13.493698,1364,1663319692.517964,975,13.007627,195,168,23,15,0
1663319693.004903,13.494566,1096,1663319692.52583,650,13.015493,130,108,19,10,0
1663319693.806503,14.296166,933,1663319693.40073,1239,13.890393,147,153,15,21,0
1663319694.006377,14.49604,1276,1663319693.506428,715,13.996091,143,132,22,11,0
1663319694.009057,14.49872,992,1663319693.509164,520,13.998827,104,108,17,8,0
1663319694.007636,14.497299,580,1663319694.006806,325,14.496469,65,60,10,5,0
1663319694.052632,14.542295,116,1663319694.009182,130,14.498845,26,12,2,2,0
1663319694.404926,14.894589,933,1663319694.004835,1239,14.494498,147,153,15,21,0
1663319694.519034,15.008697,928,1663319694.511783,520,15.001446,104,96,16,8,0
1663319694.524186,15.013849,580,1663319694.519323,325,15.008986,65,60,10,5,0
1663319695.006449,15.496112,933,1663319694.60046,1239,15.090123,147,153,15,21,0
1663319695.019739,15.509402,928,1663319695.014,520,15.503663,104,96,16,8,0
1663319695.026153,15.515816,580,1663319695.019805,325,15.509468,65,60,10,5,0
1663319695.604432,16.094095,933,1663319695.201581,1239,15.691244,147,153,15,21,0
1663319696.013358,16.503021,1804,1663319695.515217,1040,16.00488,208,192,31,16,0
1663319696.204332,16.693995,933,1663319695.801025,1239,16.290688,147,153,15,21,0
1663319696.014619,16.504282,1108,1663319695.529536,650,16.019199,130,120,19,10,0
1663319696.808427,17.29809,933,1663319696.401344,1239,16.891007,147,153,15,21,0
1663319696.515586,17.005249,980,1663319696.061879,520,16.551542,104,96,17,8,0
1663319696.516985,17.006648,580,1663319696.515707,325,17.00537,65,60,10,5,0
1663319681.114354,1.604017,0,1663319681.114354,73,1.604017,45,0,0,1,0
1663319697.406159,17.895822,933,1663319697.001465,1239,17.491128,147,153,15,21,0
1663319697.512977,18.00264,1856,1663319697.032407,1040,17.52207,208,192,32,16,0
1663319697.513924,18.003587,1160,1663319697.053756,650,17.543419,130,120,20,10,0
1663319698.064827,18.55449,933,1663319697.601436,1187,18.091099,147,153,15,20,0
1663319698.613019,19.102682,933,1663319698.200523,1239,18.690186,147,153,15,21,0
1663319698.522324,19.011987,1856,1663319698.026549,1040,18.516212,208,192,32,16,0
1663319698.530697,19.02036,1160,1663319698.037522,650,18.527185,130,120,20,10,0
1663319683.37477,3.864433,0,1663319683.37477,107,3.864433,71,0,0,1,0
1663319699.210185,19.699848,933,1663319698.800616,1239,19.290279,147,153,15,21,0
1663319694.616733,15.106396,0,1663319694.616733,42,15.106396,0,0,0,1,0
1663319699.804535,20.294198,933,1663319699.401371,1239,19.891034,147,153,15,21,0
1663319699.512161,20.001824,1804,1663319699.03546,1040,19.525123,208,192,31,16,0
1663319699.513819,20.003482,1160,1663319699.050525,650,19.540188,130,120,20,10,0
1663319700.011307,20.50097,928,1663319700.006753,520,20.496416,104,96,16,8,0
1663319700.013739,20.503402,580,1663319700.011669,325,20.501332,65,60,10,5,0
1663319700.402598,20.892261,933,1663319700.001121,1239,20.490784,147,153,15,21,0
1663319700.513843,21.003506,928,1663319700.507345,520,20.997008,104,96,16,8,0
1663319700.519131,21.008794,580,1663319700.514215,325,21.003878,65,60,10,5,0
1663319701.010533,21.500196,933,1663319700.601213,1239,21.090876,147,153,15,21,0
1663319701.057168,21.546831,772,1663319701.007541,520,21.497204,104,96,13,8,0
1663319701.069291,21.558954,424,1663319701.016948,325,21.506611,65,60,7,5,0
1663319694.616706,15.106369,0,1663319694.616706,42,15.106369,0,0,0,1,0
1663319701.602091,22.091754,933,1663319701.200949,1239,21.690612,147,153,15,21,0
1663319702.212665,22.702328,933,1663319701.800875,1239,22.290538,147,153,15,21,0
1663319702.011572,22.501235,1856,1663319701.514529,1040,22.004192,208,192,32,16,0
1663319702.012661,22.502324,1160,1663319701.518658,650,22.008321,130,120,20,10,0
1663319702.80405,23.293713,933,1663319702.401352,1239,22.891015,147,153,15,21,0
1663319703.008264,23.497927,1856,1663319702.510064,1040,22.999727,208,192,32,16,0
1663319703.009519,23.499182,1160,1663319702.516033,650,23.005696,130,120,20,10,0
1663319703.408813,23.898476,933,1663319703.000336,1239,23.489999,147,153,15,21,0
1663319703.514871,24.004534,928,1663319703.50948,520,23.999143,104,96,16,8,0
1663319703.560995,24.050658,580,1663319703.51506,325,24.004723,65,60,10,5,0
1663319704.009848,24.499511,933,1663319703.600652,1187,24.090315,147,153,15,20,0
1663319704.506098,24.995761,1544,1663319704.026782,1040,24.516445,208,192,26,16,0
1663319704.605792,25.095455,933,1663319704.201013,1239,24.690676,147,153,15,21,0
1663319704.506747,24.99641,1160,1663319704.032586,650,24.522249,130,120,20,10,0
1663319705.206302,25.695965,933,1663319704.801748,1239,25.291411,147,153,15,21,0
1663319705.024296,25.513959,980,1663319704.548803,520,25.038466,104,96,17,8,0
1663319705.085286,25.574949,424,1663319705.024527,325,25.51419,65,60,7,5,0
1663319705.812843,26.302506,933,1663319705.401114,1239,25.890777,147,153,15,21,0
1663319706.015193,26.504856,1044,1663319705.515402,585,26.005065,117,108,18,9,0
1663319706.025082,26.514745,1108,1663319705.525231,585,26.014894,117,120,19,9,0
1663319706.448857,26.93852,933,1663319706.001231,1187,26.490894,147,153,15,20,0
1663319701.625052,22.114715,0,1663319701.625052,42,22.114715,0,0,0,1,0
1663319706.507484,26.997147,1740,1663319706.015675,975,26.505338,195,180,30,15,0
1663319706.508576,26.998239,632,1663319706.025269,390,26.514932,78,60,11,6,0
1663319707.022443,27.512106,933,1663319706.601618,1239,27.091281,147,153,15,21,0
1663319707.509917,27.99958,912,1663319707.012329,650,27.501992,130,132,15,10,0
1663319707.020707,27.51037,580,1663319707.018411,325,27.508074,65,60,10,5,0
1663319707.618609,28.108272,933,1663319707.201558,1187,27.691221,147,153,15,20,0
1663319707.522792,28.012455,632,1663319707.513578,390,28.003241,78,60,11,6,0
1663319707.533862,28.023525,580,1663319707.523498,325,28.013161,65,60,10,5,0
1663319708.220532,28.710195,933,1663319707.800813,1239,28.290476,147,153,15,21,0
1663319708.527226,29.016889,952,1663319708.058012,650,28.547675,130,120,16,10,0
1663319708.811082,29.300745,933,1663319708.401079,1187,28.890742,147,153,15,20,0
1663319708.520045,29.009708,1544,1663319708.022716,1040,28.512379,208,192,26,16,0
1663319709.02966,29.519323,632,1663319708.568793,325,29.058456,65,60,11,5,0
1663319709.408247,29.89791,933,1663319709.000861,1239,29.490524,147,153,15,21,0
1663319709.509394,29.999057,1752,1663319709.012385,1040,29.502048,208,192,30,16,0
1663319709.511135,30.000798,580,1663319709.509537,325,29.9992,65,60,10,5,0
1663319710.006762,30.496425,933,1663319709.600981,1239,30.090644,147,153,15,21,0
1663319710.027795,30.517458,928,1663319710.007965,520,30.497628,104,96,16,8,0
1663319710.527634,31.017297,1108,1663319710.027971,585,30.517634,117,120,19,9,0
1663319710.606819,31.096482,933,1663319710.200901,1239,30.690564,147,153,15,21,0
1663319710.564941,31.054604,616,1663319710.511752,520,31.001415,104,96,10,8,0
1663319711.027925,31.517588,232,1663319710.528172,130,31.017835,26,24,4,2,0
1663319711.207917,31.69758,933,1663319710.801913,1187,31.291576,147,153,15,20,0
1663319711.023557,31.51322,928,1663319711.013537,520,31.5032,104,96,16,8,0
1663319711.076717,31.56638,244,1663319711.028534,260,31.518197,52,36,4,4,0
1663319711.812977,32.30264,933,1663319711.40134,1239,31.891003,147,153,15,21,0
1663319712.030659,32.520322,1236,1663319711.531419,715,32.021082,143,144,21,11,0
1663319712.037635,32.527298,1044,1663319711.537713,585,32.027376,117,108,18,9,0
1663319712.40601,32.895673,933,1663319712.00273,1187,32.492393,147,153,15,20,0
1663319701.62603,22.115693,233,1663319701.625078,176,22.114741,12,17,4,3,0
1663319712.526103,33.015766,1236,1663319712.031477,845,32.52114,169,144,21,13,0
1663319712.532076,33.021739,696,1663319712.038565,390,32.528228,78,72,12,6,0
1663319713.018132,33.507795,933,1663319712.601249,1239,33.090912,147,153,15,21,0
1663319713.521604,34.011267,1312,1663319713.021687,910,33.51135,182,168,22,14,0
1663319713.604412,34.094075,933,1663319713.201805,1239,33.691468,147,153,15,21,0
1663319713.56587,34.055533,232,1663319713.521752,130,34.011415,26,24,4,2,0
1663319713.531426,34.021089,1004,1663319713.03572,650,33.525383,130,120,17,10,0
1663319714.212192,34.701855,933,1663319713.801064,1239,34.290727,147,153,15,21,0
1663319714.853298,35.342961,933,1663319714.400795,1187,34.890458,147,153,15,20,0
1663319714.521959,35.011622,1856,1663319714.025454,1040,34.515117,208,192,32,16,0
1663319714.527068,35.016731,1160,1663319714.034553,650,34.524216,130,120,20,10,0
1663319715.52186,36.011523,1572,1663319715.021862,910,35.511525,182,168,27,14,0
1663319715.413038,35.902701,933,1663319715.001419,1239,35.491082,147,153,15,21,0
1663319716.021742,36.511405,1096,1663319715.521915,585,36.011578,117,108,19,9,0
1663319715.527396,36.017059,1160,1663319715.036667,650,35.52633,130,120,20,10,0
1663319716.027439,36.517102,933,1663319715.604066,1187,36.093729,147,153,15,20,0
1663319716.513821,37.003484,1108,1663319716.022509,650,36.512172,130,120,19,10,0
1663319716.615984,37.105647,933,1663319716.200797,1239,36.69046,147,153,15,21,0
1663319716.511975,37.001638,1044,1663319716.02199,585,36.511653,117,108,18,9,0
1663319717.214284,37.703947,933,1663319716.801156,1239,37.290819,147,153,15,21,0
1663319717.076953,37.566616,876,1663319717.014003,520,37.503666,104,96,15,8,0
1663319717.049272,37.538935,632,1663319716.557075,325,37.046738,65,60,11,5,0
1663319717.812333,38.301996,933,1663319717.401995,1239,37.891658,147,153,15,21,0
1663319718.012967,38.50263,992,1663319717.514141,520,38.003804,104,108,17,8,0
1663319717.533017,38.02268,580,1663319717.52775,325,38.017413,65,60,10,5,0
1663319718.077693,38.567356,656,1663319718.02154,520,38.511203,104,84,11,8,0
1663319718.53921,39.028873,604,1663319718.039571,390,38.529234,78,84,10,6,0
1663319718.453763,38.943426,933,1663319718.000347,1187,38.49001,147,153,15,20,0
1663319719.02795,39.517613,1480,1663319718.528002,910,39.017665,182,180,25,14,0
1663319719.039609,39.529272,864,1663319718.539684,520,39.029347,104,84,15,8,0
1663319719.052058,39.541721,933,1663319718.601579,1239,39.091242,147,153,15,21,0
1663319719.603776,40.093439,933,1663319719.201743,1187,39.691406,147,153,15,20,0
1663319719.525496,40.015159,1044,1663319719.0282,650,39.517863,130,108,18,10,0
1663319719.530296,40.019959,696,1663319719.039944,390,39.529607,78,72,12,6,0
1663319720.206731,40.696394,933,1663319719.801576,1239,40.291239,147,153,15,21,0
1663319720.010757,40.50042,928,1663319720.00879,520,40.498453,104,96,16,8,0
1663319720.012463,40.502126,580,1663319720.010837,325,40.5005,65,60,10,5,0
1663319720.816744,41.306407,933,1663319720.401339,1187,40.891002,147,153,15,20,0
1663319720.5697,41.059363,616,1663319720.515436,520,41.005099,104,96,10,8,0
1663319720.531544,41.021207,580,1663319720.528964,325,41.018627,65,60,10,5,0
1663319721.519355,42.009018,1044,1663319721.019774,585,41.509437,117,108,18,9,0
1663319721.406492,41.896155,933,1663319721.001899,1239,41.491562,147,153,15,21,0
1663319721.527168,42.016831,812,1663319721.519866,455,42.009529,91,84,14,7,0
1663319721.531971,42.021634,1056,1663319721.037941,650,41.527604,130,120,18,10,0
1663319722.057102,42.546765,933,1663319721.600755,1187,42.090418,147,153,15,20,0
1663319722.522503,43.012166,1688,1663319722.022662,910,42.512325,182,180,29,14,0
1663319722.615091,43.104754,933,1663319722.200355,1239,42.690018,147,153,15,21,0
1663319722.568613,43.058276,116,1663319722.523203,130,43.012866,26,12,2,2,0
1663319722.531236,43.020899,1160,1663319722.041872,650,42.531535,130,120,20,10,0
1663319723.213032,43.702695,933,1663319722.802145,1239,43.291808,147,153,15,21,0
1663319723.810669,44.300332,933,1663319723.401717,1239,43.89138,147,153,15,21,0
1663319723.519707,44.00937,1700,1663319723.024299,1040,43.513962,208,192,29,16,0
1663319723.523662,44.013325,1160,1663319723.04484,650,43.534503,130,120,20,10,0
1663319724.069737,44.5594,772,1663319724.013596,520,44.503259,104,96,13,8,0
1663319724.100798,44.590461,424,1663319724.025372,325,44.515035,65,60,7,5,0
1663319724.415692,44.905355,933,1663319724.001017,1239,44.49068,147,153,15,21,0
1663319725.005194,45.494857,933,1663319724.60153,1239,45.091193,147,153,15,21,0
1663319725.005167,45.49483,1856,1663319724.515331,1040,45.004994,208,192,32,16,0
1663319725.007261,45.496924,1160,1663319724.527858,650,45.017521,130,120,20,10,0
1663319725.606029,46.095692,933,1663319725.200765,1239,45.690428,147,153,15,21,0
1663319726.003793,46.493456,1456,1663319725.503829,780,45.993492,156,156,25,12,0
1663319726.004768,46.494431,812,1663319725.505056,455,45.994719,91,84,14,7,0
1663319726.204078,46.693741,933,1663319725.801301,1239,46.290964,147,153,15,21,0
1663319726.004192,46.493855,400,1663319726.003854,260,46.493517,52,36,7,4,0
1663319726.006312,46.495975,348,1663319726.005648,195,46.495311,39,36,6,3,0
1663319726.801371,47.291034,933,1663319726.401383,1239,46.891046,147,153,15,21,0
1663319727.004803,47.494466,1804,1663319726.505782,975,46.995445,195,192,31,15,0
1663319727.006775,47.496438,812,1663319726.506781,455,46.996444,91,84,14,7,0
1663319727.506185,47.995848,232,1663319727.006204,130,47.495867,26,24,4,2,0
1663319727.007413,47.497076,348,1663319727.006843,195,47.496506,39,36,6,3,0
1663319727.403533,47.893196,933,1663319727.000514,1239,47.490177,147,153,15,21,0
1663319728.00595,48.495613,604,1663319727.506268,455,47.995931,91,84,10,7,0
1663319727.526614,48.016277,580,1663319727.522328,325,48.011991,65,60,10,5,0
1663319728.016082,48.505745,933,1663319727.601097,1239,48.09076,147,153,15,21,0
1663319728.61523,49.104893,933,1663319728.200386,1239,48.690049,147,153,15,21,0
1663319728.511197,49.00086,1792,1663319728.013919,1040,48.503582,208,180,31,16,0
1663319728.515476,49.005139,1160,1663319728.039992,650,48.529655,130,120,20,10,0
1663319697.115302,17.604965,0,1663319697.115302,73,17.604965,45,0,0,1,0
1663319729.212947,49.70261,933,1663319728.8013,1187,49.290963,147,153,15,20,0
1663319729.51857,50.008233,1624,1663319729.018937,910,49.5086,182,168,28,14,0
1663319729.815359,50.305022,933,1663319729.401322,1239,49.890985,147,153,15,21,0
1663319729.520479,50.010142,232,1663319729.518986,130,50.008649,26,24,4,2,0
1663319729.523313,50.012976,1160,1663319729.029056,650,49.518719,130,120,20,10,0
1663319730.41249,50.902153,933,1663319730.001644,1239,50.491307,147,153,15,21,0
1663319730.517248,51.006911,1544,1663319730.020702,1040,50.510365,208,192,26,16,0
1663319730.522294,51.011957,1160,1663319730.027912,650,50.517575,130,120,20,10,0
1663319731.009884,51.499547,933,1663319730.600988,1239,51.090651,147,153,15,21,0
1663319699.376935,19.866598,0,1663319699.376935,107,19.866598,71,0,0,1,0
1663319731.604696,52.094359,933,1663319731.201101,1239,51.690764,147,153,15,21,0
1663319731.507357,51.99702,1856,1663319731.015041,1040,51.504704,208,192,32,16,0
1663319731.50874,51.998403,1160,1663319731.033184,650,51.522847,130,120,20,10,0
1663319732.211176,52.700839,933,1663319731.801301,1187,52.290964,147,153,15,20,0
1663319732.518357,53.00802,1224,1663319732.01843,715,52.508093,143,132,21,11,0
1663319732.527804,53.017467,1108,1663319732.027978,585,52.517641,117,120,19,9,0
1663319712.639086,33.128749,121,1663319712.637753,116,33.127416,12,17,2,2,0
1663319732.805229,53.294892,933,1663319732.403579,1239,52.893242,147,153,15,21,0
1663319733.010251,53.499914,1300,1663319732.519057,845,53.00872,169,156,22,13,0
1663319733.012179,53.501842,632,1663319732.528088,390,53.017751,78,60,11,6,0
1663319733.401756,53.891419,933,1663319733.005218,1239,53.494881,147,153,15,21,0
1663319733.507307,53.99697,928,1663319733.505533,520,53.995196,104,96,16,8,0
1663319733.509941,53.999604,580,1663319733.507364,325,53.997027,65,60,10,5,0
1663319734.029605,54.519268,933,1663319733.601755,1239,54.091418,147,153,15,21,0
1663319734.506718,54.996381,1648,1663319734.019881,1040,54.509544,208,192,28,16,0
1663319734.603962,55.093625,933,1663319734.201037,1239,54.6907,147,153,15,21,0
1663319734.508344,54.998007,1108,1663319734.041815,650,54.531478,130,120,19,10,0
1663319735.215904,55.705567,933,1663319734.802097,1187,55.29176,147,153,15,20,0
1663319735.011563,55.501226,980,1663319734.549133,520,55.038796,104,96,17,8,0
1663319735.014347,55.50401,580,1663319735.011652,325,55.501315,65,60,10,5,0
1663319735.805604,56.295267,933,1663319735.401618,1239,55.891281,147,153,15,21,0
1663319736.018293,56.507956,1752,1663319735.520255,1040,56.009918,208,192,30,16,0
1663319736.018972,56.508635,1160,1663319735.5313,650,56.020963,130,120,20,10,0
1663319736.41004,56.899703,933,1663319736.001259,1187,56.490922,147,153,15,20,0
1663319736.56132,57.050983,876,1663319736.512298,520,57.001961,104,96,15,8,0
1663319736.527048,57.016711,580,1663319736.520134,325,57.009797,65,60,10,5,0
1663319737.025136,57.514799,933,1663319736.601608,1239,57.091271,147,153,15,21,0
1663319737.520677,58.01034,1804,1663319737.02127,975,57.510933,195,192,31,15,0
1663319706.758123,27.247786,42,1663319706.758089,42,27.247752,0,0,1,1,0
1663319737.60527,58.094933,933,1663319737.20047,1239,57.690133,147,153,15,21,0
1663319737.525626,58.015289,1160,1663319737.026024,650,57.515687,130,120,20,10,0
1663319738.214075,58.703738,933,1663319737.801743,1187,58.291406,147,153,15,20,0
1663319738.020475,58.510138,980,1663319737.521787,585,58.01145,117,96,17,9,0
1663319738.081402,58.571065,476,1663319738.020892,325,58.510555,65,60,8,5,0
1663319738.806127,59.29579,933,1663319738.401283,1239,58.890946,147,153,15,21,0
1663319738.56485,59.054513,876,1663319738.514215,520,59.003878,104,96,15,8,0
1663319738.529381,59.019044,580,1663319738.525039,325,59.014702,65,60,10,5,0
1663319739.444839,59.934502,933,1663319739.002655,1239,59.492318,147,153,15,21,0
1663319739.506503,59.996166,1856,1663319739.016968,1040,59.506631,208,192,32,16,0
1663319739.507679,59.997342,1160,1663319739.031222,650,59.520885,130,120,20,10,0
1663319740.001752,60.491415,933,1663319739.600678,1239,60.090341,147,153,15,21,0
1663319740.011985,60.501648,928,1663319740.005126,520,60.494789,104,96,16,8,0
1663319740.015634,60.505297,580,1663319740.014453,325,60.504116,65,60,10,5,0
1663319740.676516,61.166179,933,1663319740.200469,1187,60.690132,147,153,15,20,0
1663319740.52106,61.010723,928,1663319740.51927,520,61.008933,104,96,16,8,0
1663319740.52466,61.014323,580,1663319740.521122,325,61.010785,65,60,10,5,0
1663319741.202913,61.692576,933,1663319740.800679,1239,61.290342,147,153,15,21,0
1663319741.813506,62.303169,933,1663319741.401407,1239,61.89107,147,153,15,21,0
1663319741.519178,62.008841,1544,1663319741.052048,1040,61.541711,208,192,26,16,0
1663319741.519959,62.009622,1004,1663319741.064583,650,61.554246,130,120,17,10,0
1663319742.401948,62.891611,933,1663319742.000727,1239,62.49039,147,153,15,21,0
1663319742.517468,63.007131,1752,1663319742.027366,1040,62.517029,208,192,30,16,0
1663319742.518751,63.008414,1160,1663319742.050683,650,62.540346,130,120,20,10,0
1663319743.004803,63.494466,933,1663319742.600701,1239,63.090364,147,153,15,21,0
1663319743.602285,64.091948,933,1663319743.20147,1239,63.691133,147,153,15,21,0
1663319743.510094,63.999757,1856,1663319743.051087,1040,63.54075,208,192,32,16,0
1663319743.512166,64.001829,1160,1663319743.063069,650,63.552732,130,120,20,10,0
1663319744.265439,64.755102,933,1663319743.800734,1187,64.290397,147,153,15,20,0
1663319744.012324,64.501987,928,1663319744.010902,520,64.500565,104,96,16,8,0
1663319744.056833,64.546496,424,1663319744.012403,325,64.502066,65,60,7,5,0
1663319744.75087,65.240533,622,1663319744.428021,826,64.917684,98,102,10,14,0
1663319744.559114,65.048777,928,1663319744.537043,520,65.026706,104,96,16,8,0
1663319745.046853,65.536516,1160,1663319744.559262,650,65.048925,130,120,20,10,0
1663319745.505493,65.995156,1648,1663319745.039149,1040,65.528812,208,192,28,16,0
1663319745.406245,65.895908,933,1663319745.009172,1239,65.498835,147,153,15,21,0
1663319745.506826,65.996489,580,1663319745.505616,325,65.995279,65,60,10,5,0
1663319746.008022,66.497685,933,1663319745.605129,1239,66.094792,147,153,15,21,0
1663319746.016072,66.505735,980,1663319745.548831,520,66.038494,104,96,17,8,0
1663319746.60566,67.095323,933,1663319746.201372,1187,66.691035,147,153,15,20,0
1663319746.506665,66.996328,928,1663319746.50438,520,66.994043,104,96,16,8,0
1663319746.509624,66.999287,1160,1663319746.016225,650,66.505888,130,120,20,10,0
1663319747.211896,67.701559,933,1663319746.802302,1239,67.291965,147,153,15,21,0
1663319747.084756,67.574419,616,1663319747.01894,520,67.508603,104,96,10,8,0
1663319747.812631,68.302294,933,1663319747.401027,1239,67.89069,147,153,15,21,0
1663319748.023843,68.513506,1688,1663319747.52619,910,68.015853,182,180,29,14,0
1663319747.540514,68.030177,1160,1663319747.044827,650,67.53449,130,120,20,10,0
1663319748.409069,68.898732,933,1663319748.001368,1239,68.491031,147,153,15,21,0
1663319694.617733,15.107396,233,1663319694.616762,176,15.106425,12,17,4,3,0
1663319748.512763,69.002426,1044,1663319748.033374,650,68.523037,130,108,18,10,0
1663319748.517833,69.007496,1160,1663319748.03567,650,68.525333,130,120,20,10,0
1663319749.021939,69.511602,933,1663319748.601521,1239,69.091184,147,153,15,21,0
1663319749.065464,69.555127,720,1663319749.011691,520,69.501354,104,96,12,8,0
1663319749.024518,69.514181,580,1663319749.022714,325,69.512377,65,60,10,5,0
1663319749.613189,70.102852,933,1663319749.202693,1239,69.692356,147,153,15,21,0
1663319750.214439,70.704102,933,1663319749.80167,1239,70.291333,147,153,15,21,0
1663319750.010368,70.500031,1856,1663319749.516199,1040,70.005862,208,192,32,16,0
1663319750.012413,70.502076,1108,1663319749.530786,650,70.020449,130,120,19,10,0
1663319750.805104,71.294767,933,1663319750.401973,1239,70.891636,147,153,15,21,0
1663319750.56551,71.055173,668,1663319750.513692,520,71.003355,104,96,11,8,0
1663319750.522828,71.012491,580,1663319750.521967,325,71.01163,65,60,10,5,0
1663319751.404792,71.894455,933,1663319751.000774,1187,71.490437,147,153,15,20,0
1663319751.508954,71.998617,1856,1663319751.02134,1040,71.511003,208,192,32,16,0
1663319751.510478,72.000141,1160,1663319751.034565,650,71.524228,130,120,20,10,0
1663319752.031269,72.520932,933,1663319751.600898,1239,72.090561,147,153,15,21,0
1663319752.068931,72.558594,928,1663319752.016296,520,72.505959,104,96,16,8,0
1663319752.081388,72.571051,580,1663319752.029022,325,72.518685,65,60,10,5,0
